Wall time,Step,Value
1485535252.6297944,7,0.4375
1485535257.3063536,20,0.46875
1485535259.1626794,26,0.53125
1485535264.2868307,42,0.4375
1485535264.922683,44,0.5
1485535266.0596263,47,0.71875
1485535269.0492556,55,0.65625
1485535270.3419964,58,0.625
1485535277.3391333,73,0.59375
1485535278.5917234,76,0.71875
1485535286.2989717,96,0.5625
1485535289.3762183,104,0.71875
1485535291.0173545,108,0.6875
1485535299.7935042,128,0.75
1485535305.5127537,141,0.84375
1485535309.6980066,152,0.65625
1485535311.629899,157,0.71875
1485535312.5462635,160,0.8125
1485535315.6842804,169,0.8125
1485535320.1697185,180,0.875
1485535321.923007,185,0.71875
1485535322.586693,187,0.53125
1485535322.923729,188,0.75
1485535324.3547306,192,0.84375
1485535327.291327,200,0.90625
1485535330.0943415,209,0.65625
1485535331.7127676,214,0.71875
1485535335.174243,225,0.75
1485535337.3164937,231,0.78125
1485535339.0822258,236,0.8125
1485535343.682945,251,0.71875
1485535345.4934769,257,0.8125
1485535346.9817548,262,0.84375
1485535349.250667,269,0.9375
1485535350.4968429,273,0.875
1485535351.1598802,275,0.75
1485535357.3700979,294,0.875
1485535358.8185763,299,0.75
1485535360.6697917,305,0.8125
1485535362.1324036,310,0.90625
1485535362.7278337,312,0.8125
1485535365.0467596,320,0.78125
1485535368.6608455,332,0.8125
1485535371.3145359,341,0.9375
1485535373.620054,349,0.9375
1485535378.2853284,365,0.875
1485535379.4427397,369,0.875
1485535382.392888,379,0.625
1485535396.5629406,423,0.84375
1485535396.8620143,424,0.8125
1485535401.8696108,441,0.78125
1485535402.4851282,443,0.71875
1485535402.843155,444,0.875
1485535403.7595518,447,0.96875
1485535408.1434357,462,0.8125
1485535409.0043843,465,0.875
1485535409.2935412,466,0.84375
1485535412.226096,476,0.875
1485535417.2125602,493,0.90625
1485535417.7954924,495,0.78125
1485535423.9346762,516,0.75
1485535424.8082998,519,0.875
1485535427.1320794,527,0.78125
1485535428.860942,533,0.65625
1485535429.4448364,535,0.84375
1485535430.315616,538,0.875
1485535432.0698266,544,0.6875
1485535433.5140378,549,0.875
1485535436.4535697,559,0.65625
1485535438.1920545,565,0.90625
1485535441.0891511,575,0.875
1485535442.8456697,581,0.84375
1485535443.4308808,583,0.875
1485535444.8796668,588,0.875
1485535445.1605291,589,0.875
1485535449.7361307,604,0.75
1485535455.1797614,622,0.78125
1485535455.7497315,624,0.6875
1485535459.2381685,636,0.8125
1485535461.270413,643,0.875
1485535461.5639718,644,0.84375
1485535462.1473124,646,0.84375
1485535463.0892792,649,0.78125
1485535463.715274,651,0.84375
1485535467.223512,663,0.71875
1485535468.306468,666,0.84375
1485535469.5796654,670,0.8125
1485535470.5251594,673,0.90625
1485535471.4888692,676,0.84375
1485535472.690231,680,0.9375
1485535474.1791492,685,0.875
1485535475.629205,690,0.8125
1485535492.0454712,716,0.84375
1485535493.3396032,720,0.90625
1485535494.7128332,724,0.71875
1485535495.0070534,725,0.90625
1485535497.2248857,732,0.90625
1485535499.8676867,741,0.96875
1485535501.049664,745,0.84375
1485535502.189325,749,0.84375
1485535503.6588464,754,0.84375
1485535504.8130195,758,0.8125
1485535507.5865648,767,0.84375
1485535508.890466,771,0.84375
1485535509.1972277,772,0.875
1485535509.492484,773,0.84375
1485535510.0726457,775,1.0
1485535512.2570167,782,0.84375
1485535513.7250414,787,0.9375
1485535514.2952805,789,0.90625
1485535515.755516,794,0.78125
1485535516.3301156,796,0.78125
1485535517.4774988,800,0.96875
1485535518.6431317,804,0.90625
1485535520.4774616,810,0.78125
1485535520.7671683,811,0.90625
1485535527.642293,834,0.84375
1485535528.8174658,838,0.875
1485535538.7805192,871,0.90625
1485535540.251469,876,0.90625
1485535540.8354862,878,0.84375
1485535542.8944829,884,0.75
1485535545.2349317,892,0.90625
1485535547.0044243,898,0.90625
1485535548.186047,902,0.875
1485535550.4590745,909,0.96875
1485535551.0642145,911,0.8125
1485535552.8499875,917,0.875
1485535553.4816487,919,0.90625
1485535557.749854,933,0.875
1485535558.0527842,934,0.875
1485535561.019233,944,0.8125
1485535561.893714,947,0.875
1485535564.4970248,956,0.9375
1485535565.674511,960,0.875
1485535566.815264,964,0.84375
1485535569.4296348,973,0.84375
1485535569.71466,974,0.78125
1485535571.4491045,980,0.84375
1485535571.7378833,981,0.875
1485535573.1825316,986,0.875
1485535576.6375945,998,0.875
1485535578.3767903,1004,0.9375
1485535579.2593799,1007,0.84375
